ID,Unnamed:_0,food,Caloric_Value,Fat,Saturated_Fats,Monounsaturated_Fats,Polyunsaturated_Fats,Carbohydrates,Sugars,Protein,Dietary_Fiber,Cholesterol,Sodium,Water,Vitamin_A,Vitamin_B1,Vitamin_B11,Vitamin_B12,Vitamin_B2,Vitamin_B3,Vitamin_B5,Vitamin_B6,Vitamin_C,Vitamin_D,Vitamin_E,Vitamin_K,Calcium,Copper,Iron,Magnesium,Manganese,Phosphorus,Potassium,Selenium,Zinc,Nutrition_Density,Health_Label
177,177,almonds roasted,182,16.6,1.3,10.4,4.1,5.3,1.4,6.4,3.2,0.0,0.029,0.8,0.0,0.055,0.032,0.0,0.2,1.1,0.049,0.065,0.0,0.0,7.8,0.0,87.3,0.3,1.1,82.2,0.7,139.8,209.7,0.017,0.9,119.9,Healthy
178,178,lotus seeds raw,25,0.1,0.097,0.011,0.002,4.9,0.0,1.2,0.0,0.0,0.02,21.8,0.0,0.073,0.052,0.0,0.07,0.1,0.088,0.074,0.0,0.0,0.0,0.0,12.5,0.079,0.3,15.8,0.2,47.5,103.9,0.0,0.043,19.0,Healthy
179,179,chestnuts cooked,37,0.4,0.016,0.1,0.2,7.9,0.0,0.6,0.0,0.0,0.046,19.3,0.0,0.095,0.099,0.0,0.053,0.2,0.046,0.021,7.6,0.0,0.0,0.0,13.0,0.1,0.5,15.3,0.2,28.0,202.3,0.0,0.02,30.0,Healthy
180,180,alfalfa seeds,1,0.075,0.029,0.067,0.057,0.002,0.058,0.1,0.015,0.0,0.048,2.8,0.0,0.065,0.008,0.0,0.078,0.02,0.051,0.021,0.2,0.0,0.036,0.042,1.0,0.048,0.034,0.8,0.024,2.1,2.4,0.076,0.071,1.435,Healthy
181,181,virginia peanuts roasted,173,14.6,1.9,7.6,4.4,6.0,0.0,7.8,2.7,0.0,0.018,0.7,0.0,0.066,0.061,0.0,0.022,4.4,0.4,0.099,0.0,0.0,0.0,0.0,25.8,0.4,0.5,56.4,0.6,151.8,195.6,0.006,2.0,57.4,Healthy
182,182,hazelnuts raw,471,45.6,3.3,34.2,5.9,12.5,3.3,11.2,7.3,0.0,0.0,4.0,0.0,0.5,0.034,0.0,0.022,1.4,0.7,0.4,4.7,0.0,11.3,0.097,85.5,1.3,3.5,122.3,4.6,217.5,510.0,0.012,1.8,170.3,Healthy
183,183,anise seeds,7,0.3,0.06,0.2,0.066,1.1,0.0,0.4,0.3,0.0,0.1,0.2,0.0,0.058,0.002,0.0,0.091,0.09,0.058,0.01,0.4,0.0,0.0,0.0,13.6,0.024,0.8,3.6,0.031,9.2,30.3,0.05,0.1,16.9,Healthy
184,184,macadamia nuts roasted,215,22.8,3.6,17.8,0.4,4.0,1.2,2.3,2.4,0.0,0.064,0.5,0.0,0.2,0.002,0.0,0.086,0.7,0.2,0.1,0.2,0.0,0.2,0.0,21.0,0.2,0.8,35.4,0.9,59.4,108.9,0.085,0.4,53.5,Unhealthy
185,185,studentenfutter alnatura,139,7.8,0.9,4.8,2.0,13.2,11.7,3.1,0.031,1.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.152,Healthy
186,186,pumpkin squash seeds roasted,46,3.9,0.7,1.3,1.6,1.2,0.1,2.4,0.5,0.0,0.045,0.2,0.0,0.046,0.041,0.0,0.046,0.4,0.02,0.012,0.1,0.0,0.049,0.002,4.2,0.1,0.6,44.0,0.4,93.9,63.0,0.05,0.6,12.9,Healthy
